%time,field.O_x,field.O_y,field.O_t,field.I_t,field.G_x,field.G_y
162,0.975616,-0.981976,0.32981,0.238094,0.978771,-0.96417
163,0.975616,-0.981976,0.32981,0.238157,0.978771,-0.96417
164,0.975616,-0.981976,0.32981,0.238191,0.978771,-0.96417
165,0.975616,-0.981976,0.32981,0.238561,0.978771,-0.96417
166,0.975616,-0.981976,0.32981,0.238647,0.978771,-0.96417
167,0.975616,-0.981976,0.32981,0.238911,0.978771,-0.96417
168,0.975616,-0.981976,0.32981,0.238912,0.978771,-0.96417
169,0.975616,-0.981976,0.32981,0.239571,0.97885,-0.966331
170,0.975616,-0.981976,0.33078,0.239288,0.978852,-0.966378
171,0.975616,-0.981976,0.331344,0.239304,0.978852,-0.966378
172,0.975616,-0.981976,0.331344,0.23972,0.978852,-0.966378
173,0.975616,-0.981976,0.331344,0.239997,0.978852,-0.966378
174,0.976419,-0.981626,0.331344,0.240696,0.978852,-0.966378
175,0.976533,-0.981577,0.331344,0.240881,0.978852,-0.966378
176,0.979238,-0.980398,0.331344,0.242076,0.978852,-0.966378
177,0.979698,-0.980288,0.331344,0.242202,0.978852,-0.966378
178,0.984266,-0.979297,0.331344,0.243108,0.978712,-0.968116
179,0.9896,-0.976974,0.33246,0.243625,0.978695,-0.968331
180,0.991599,-0.976101,0.332878,0.243867,0.978695,-0.968331
181,1.00047,-0.973155,0.33158,0.244385,0.978695,-0.968331
182,1.00208,-0.972622,0.331344,0.244557,0.978695,-0.968331
183,1.0158,-0.967702,0.331344,0.245383,0.978695,-0.968331
184,1.01623,-0.967546,0.331344,0.245388,0.978695,-0.968331
185,1.03319,-0.962101,0.33225,0.244738,0.978695,-0.968331
186,1.04493,-0.958309,0.332878,0.244875,0.977105,-0.96796
187,1.06023,-0.952531,0.332878,0.245247,0.976726,-0.967871
188,1.06367,-0.951235,0.332878,0.245242,0.976726,-0.967871
189,1.08074,-0.945837,0.332878,0.244825,0.976726,-0.967871
